"symbol","biotype","description"
"ABCA13","protein_coding","ATP-binding cassette, sub-family A (ABC1), member 13"
"ARHGAP20","protein_coding","Rho GTPase activating protein 20"
"ASTN1","protein_coding","astrotactin 1"
"DNAH14","protein_coding","dynein, axonemal, heavy chain 14"
"NLK","protein_coding","nemo-like kinase"
"SOX2-OT","sense_overlapping","SOX2 overlapping transcript (non-protein coding)"
"SULT1B1","protein_coding","sulfotransferase family, cytosolic, 1B, member 1"
"SYN3","protein_coding","synapsin III"
"TENM4","protein_coding","teneurin transmembrane protein 4"
